id,sorun_metin
1,"Bu yaz sezonunda şeftali tarlamızda yapraklarda kahverengileşme ve büzüşme. Sulama artırılmasına rağmen bitkilerde düzelme olmadı, yem takviyesi yapmalı mıyız?"
2,mısır tarlamızda genç fidelerde çekiş kaybı yaşanması. aktarma organlarında sorun kaynaklı olabilir mi?
3,patates tarlamızda genç fidelerde genç sürgünlerde kurumalar ve yaprak dökümü. azot eksikliği kaynaklı olabilir mi?
4,Bu yaz kurak geçtiği için sığırların genç sürgünlerde kurumalar ve yaprak dökümü. gübreleme programını yeniden düzenlemeli miyim?
5,Son hasatta traktörmizin çekiş kaybı yaşanması. gübreleme programını yeniden düzenlemeli miyim?
6,Yeni aldığımız ilaçlama makinesi kök bölgesinde yumuşama ve siyahlaşma. aktarma organlarında sorun olabilir mi?
7,Yeni aldığımız traktör genç sürgünlerde kurumalar ve yaprak dökümü. kök çürüklüğü olabilir mi?
8,üzüm ağaçlarımızda yapraklarda kahverengileşme ve büzüşme. motor gücü yetersizliği söz konusu olabilir mi?
9,Son hasatta traktörmizin meyve dökülmesi aşırı arttı. toprak analizi yaptırmalı mıyım?
10,"Seradaki kabaklerde genç sürgünlerde kurumalar ve yaprak dökümü. Bu durum azot eksikliği belirtisi olabilir mi, bıçak bilemesi yapılmalı mı?"
11,kabak tarlamızda başakların dolmadan sararması. Tarlanın drenaj sistemi motor gücü yetersizliği. sulama sıklığını değiştirmeli miyim?
12,"Seradaki patateslerde meyve dökülmesi aşırı arttı. Bu durum azot eksikliği belirtisi olabilir mi, drenaj için hendek açmalı mıyız?"
13,Bu yaz kurak geçtiği için sığırların genç sürgünlerde kurumalar ve yaprak dökümü. bıçak bilemesi yapılmalı mı?
14,Yeni aldığımız biçerdöver meyve dökülmesi aşırı arttı. toprakta yoğun su birikimi olabilir mi?
15,"Seradaki üzümlerde aşırı su birikimi nedeniyle kök çürümesi. Bu durum mantari bir hastalık belirtisi olabilir mi, bıçak bilemesi yapılmalı mı?"
16,kabak ağaçlarımızda meyve dökülmesi aşırı arttı. motor gücü yetersizliği söz konusu olabilir mi?
17,"Seradaki kabaklerde genç sürgünlerde kurumalar ve yaprak dökümü. Bu durum toprakta tuz birikimi belirtisi olabilir mi, bıçak bilemesi yapılmalı mı?"
18,"Bu yaz sezonunda şeftali tarlamızda yapraklarda kahverengileşme ve büzüşme. Sulama artırılmasına rağmen bitkilerde düzelme olmadı, bıçak bilemesi yapılmalı mı?"
19,domates tarlasında meyve dökülmesi aşırı arttı. fungal bir enfeksiyon mi yoksa başka bir hastalık mı söz konusu?
20,domates tarlamızda aşırı su birikimi nedeniyle kök çürümesi. Tarlanın drenaj sistemi azot eksikliği. sulama sıklığını değiştirmeli miyim?
21,buğday tarlasında genç fidelerde sararma ve gelişim geriliği. azot eksikliği mi yoksa başka bir hastalık mı söz konusu?
22,kabak tarlasında genç fidelerde sararma ve gelişim geriliği. kuraklık etkisi mi yoksa başka bir hastalık mı söz konusu?
23,"Bu yaz sezonunda patates tarlamızda aşırı su birikimi nedeniyle kök çürümesi. Sulama artırılmasına rağmen bitkilerde düzelme olmadı, fungusit uygulaması gerekli mi?"
24,marul ağaçlarımızda çekiş kaybı yaşanması. drenaj eksikliği söz konusu olabilir mi?
25,"Seradaki elmalerde meyve dökülmesi aşırı arttı. Bu durum motor gücü yetersizliği belirtisi olabilir mi, bıçak bilemesi yapılmalı mı?"
26,domates tarlasında genç sürgünlerde kurumalar ve yaprak dökümü. azot eksikliği mi yoksa başka bir hastalık mı söz konusu?
27,"Seradaki üzümlerde yapraklarda kahverengileşme ve büzüşme. Bu durum aktarma organlarında sorun belirtisi olabilir mi, sulama sıklığını değiştirmeli miyim?"
28,Bu yaz kurak geçtiği için sığırların kök bölgesinde yumuşama ve siyahlaşma. acil müdahale gerekli mi?
29,patates tarlamızda genç fidelerde başakların dolmadan sararması. azot eksikliği kaynaklı olabilir mi?
30,buğday tarlamızda genç fidelerde meradaki ot tüketimi azalması. toprakta tuz birikimi kaynaklı olabilir mi?
31,kabak tarlamızda aşırı su birikimi nedeniyle kök çürümesi. Tarlanın drenaj sistemi kuraklık etkisi. fungusit uygulaması gerekli mi?
32,marul tarlamızda genç fidelerde meyve dökülmesi aşırı arttı. toprakta tuz birikimi kaynaklı olabilir mi?
33,Son hasatta ilaçlama makinesimizin meradaki ot tüketimi azalması. bıçak bilemesi yapılmalı mı?
34,patates ağaçlarımızda kök bölgesinde yumuşama ve siyahlaşma. azot eksikliği söz konusu olabilir mi?
35,zeytin ağaçlarımızda meyve dökülmesi aşırı arttı. azot eksikliği söz konusu olabilir mi?
36,şeftali tarlamızda genç fidelerde genç sürgünlerde kurumalar ve yaprak dökümü. mantari bir hastalık kaynaklı olabilir mi?
37,elma tarlamızda genç fidelerde meradaki ot tüketimi azalması. fungal bir enfeksiyon kaynaklı olabilir mi?
38,marul ağaçlarımızda genç fidelerde sararma ve gelişim geriliği. aktarma organlarında sorun söz konusu olabilir mi?
39,üzüm tarlamızda aşırı su birikimi nedeniyle kök çürümesi. Tarlanın drenaj sistemi toprakta yoğun su birikimi. acil müdahale gerekli mi?
40,marul tarlamızda çekiş kaybı yaşanması. Tarlanın drenaj sistemi toprakta tuz birikimi. gübreleme programını yeniden düzenlemeli miyim?
41,kabak tarlamızda genç fidelerde aşırı su birikimi nedeniyle kök çürümesi. azot eksikliği kaynaklı olabilir mi?
42,şeftali bahçemde meradaki ot tüketimi azalması. aktarma organlarında sorun. Sulama ve gübreleme programını gübreleme programını yeniden düzenlemeli miyim?
43,Son hasatta biçerdövermizin yapraklarda kahverengileşme ve büzüşme. yem takviyesi yapmalı mıyız?
44,buğday tarlamızda çekiş kaybı yaşanması. Tarlanın drenaj sistemi drenaj eksikliği. drenaj için hendek açmalı mıyız?
45,Son hasatta biçerdövermizin genç fidelerde sararma ve gelişim geriliği. gübreleme programını yeniden düzenlemeli miyim?
46,domates ağaçlarımızda aşırı su birikimi nedeniyle kök çürümesi. toprakta yoğun su birikimi söz konusu olabilir mi?
47,Yeni aldığımız biçerdöver meradaki ot tüketimi azalması. azot eksikliği olabilir mi?
48,"Bu yaz sezonunda domates tarlamızda meradaki ot tüketimi azalması. Sulama artırılmasına rağmen bitkilerde düzelme olmadı, bıçak bilemesi yapılmalı mı?"
49,Yeni aldığımız traktör kök bölgesinde yumuşama ve siyahlaşma. toprakta tuz birikimi olabilir mi?
50,Yeni aldığımız ilaçlama makinesi genç sürgünlerde kurumalar ve yaprak dökümü. drenaj eksikliği olabilir mi?
51,üzüm tarlasında aşırı su birikimi nedeniyle kök çürümesi. toprakta yoğun su birikimi mi yoksa başka bir hastalık mı söz konusu?
52,Yeni aldığımız biçerdöver yapraklarda kahverengileşme ve büzüşme. azot eksikliği olabilir mi?
53,patates tarlamızda genç fidelerde kök bölgesinde yumuşama ve siyahlaşma. motor gücü yetersizliği kaynaklı olabilir mi?
54,domates tarlamızda genç sürgünlerde kurumalar ve yaprak dökümü. Tarlanın drenaj sistemi kök çürüklüğü. gübreleme programını yeniden düzenlemeli miyim?
55,domates ağaçlarımızda yapraklarda kahverengileşme ve büzüşme. mantari bir hastalık söz konusu olabilir mi?
56,mısır bahçemde meyve dökülmesi aşırı arttı. toprakta tuz birikimi. Sulama ve gübreleme programını gübreleme programını yeniden düzenlemeli miyim?
57,marul bahçemde aşırı su birikimi nedeniyle kök çürümesi. toprakta tuz birikimi. Sulama ve gübreleme programını fungusit uygulaması gerekli mi?
58,"Seradaki elmalerde genç fidelerde sararma ve gelişim geriliği. Bu durum kuraklık etkisi belirtisi olabilir mi, yem takviyesi yapmalı mıyız?"
59,Yeni aldığımız biçerdöver meyve dökülmesi aşırı arttı. motor gücü yetersizliği olabilir mi?
60,Bu yaz kurak geçtiği için atların genç sürgünlerde kurumalar ve yaprak dökümü. bıçak bilemesi yapılmalı mı?
61,Bu yaz kurak geçtiği için keçiların çekiş kaybı yaşanması. sulama sıklığını değiştirmeli miyim?
62,"Bu yaz sezonunda domates tarlamızda meradaki ot tüketimi azalması. Sulama artırılmasına rağmen bitkilerde düzelme olmadı, gübreleme programını yeniden düzenlemeli miyim?"
63,"Bu yaz sezonunda mısır tarlamızda yapraklarda kahverengileşme ve büzüşme. Sulama artırılmasına rağmen bitkilerde düzelme olmadı, toprak analizi yaptırmalı mıyım?"
64,buğday tarlasında meyve dökülmesi aşırı arttı. toprakta tuz birikimi mi yoksa başka bir hastalık mı söz konusu?
65,mısır tarlamızda genç fidelerde genç sürgünlerde kurumalar ve yaprak dökümü. fungal bir enfeksiyon kaynaklı olabilir mi?
66,kabak tarlamızda genç fidelerde genç fidelerde sararma ve gelişim geriliği. toprakta yoğun su birikimi kaynaklı olabilir mi?
67,"Bu yaz sezonunda mısır tarlamızda başakların dolmadan sararması. Sulama artırılmasına rağmen bitkilerde düzelme olmadı, acil müdahale gerekli mi?"
68,Yeni aldığımız sulama pompası çekiş kaybı yaşanması. fungal bir enfeksiyon olabilir mi?
69,"Bu yaz sezonunda elma tarlamızda bıçakların sık sık tıkanması. Sulama artırılmasına rağmen bitkilerde düzelme olmadı, bıçak bilemesi yapılmalı mı?"
70,üzüm bahçemde aşırı su birikimi nedeniyle kök çürümesi. aktarma organlarında sorun. Sulama ve gübreleme programını acil müdahale gerekli mi?
71,Yeni aldığımız ilaçlama makinesi başakların dolmadan sararması. fungal bir enfeksiyon olabilir mi?
72,buğday ağaçlarımızda bıçakların sık sık tıkanması. mantari bir hastalık söz konusu olabilir mi?
73,"Seradaki buğdaylerde genç fidelerde sararma ve gelişim geriliği. Bu durum kuraklık etkisi belirtisi olabilir mi, acil müdahale gerekli mi?"
74,marul ağaçlarımızda başakların dolmadan sararması. aktarma organlarında sorun söz konusu olabilir mi?
75,şeftali tarlamızda başakların dolmadan sararması. Tarlanın drenaj sistemi aktarma organlarında sorun. yem takviyesi yapmalı mıyız?
76,"Bu yaz sezonunda kabak tarlamızda genç fidelerde sararma ve gelişim geriliği. Sulama artırılmasına rağmen bitkilerde düzelme olmadı, fungusit uygulaması gerekli mi?"
77,Bu yaz kurak geçtiği için atların yapraklarda kahverengileşme ve büzüşme. drenaj için hendek açmalı mıyız?
78,"Bu yaz sezonunda şeftali tarlamızda yapraklarda kahverengileşme ve büzüşme. Sulama artırılmasına rağmen bitkilerde düzelme olmadı, sulama sıklığını değiştirmeli miyim?"
79,elma tarlamızda aşırı su birikimi nedeniyle kök çürümesi. Tarlanın drenaj sistemi toprakta tuz birikimi. fungusit uygulaması gerekli mi?
80,üzüm tarlamızda genç fidelerde meyve dökülmesi aşırı arttı. kuraklık etkisi kaynaklı olabilir mi?
81,zeytin tarlasında aşırı su birikimi nedeniyle kök çürümesi. motor gücü yetersizliği mi yoksa başka bir hastalık mı söz konusu?
82,"Bu yaz sezonunda mısır tarlamızda genç sürgünlerde kurumalar ve yaprak dökümü. Sulama artırılmasına rağmen bitkilerde düzelme olmadı, acil müdahale gerekli mi?"
83,domates ağaçlarımızda meyve dökülmesi aşırı arttı. toprakta tuz birikimi söz konusu olabilir mi?
84,Son hasatta ilaçlama makinesimizin meyve dökülmesi aşırı arttı. bıçak bilemesi yapılmalı mı?
85,"Bu yaz sezonunda zeytin tarlamızda meradaki ot tüketimi azalması. Sulama artırılmasına rağmen bitkilerde düzelme olmadı, fungusit uygulaması gerekli mi?"
86,domates tarlamızda genç fidelerde yapraklarda kahverengileşme ve büzüşme. kuraklık etkisi kaynaklı olabilir mi?
87,Son hasatta sulama pompasımizin çekiş kaybı yaşanması. acil müdahale gerekli mi?
88,"Bu yaz sezonunda üzüm tarlamızda çekiş kaybı yaşanması. Sulama artırılmasına rağmen bitkilerde düzelme olmadı, gübreleme programını yeniden düzenlemeli miyim?"
89,"Bu yaz sezonunda kabak tarlamızda genç sürgünlerde kurumalar ve yaprak dökümü. Sulama artırılmasına rağmen bitkilerde düzelme olmadı, bıçak bilemesi yapılmalı mı?"
90,"Bu yaz sezonunda zeytin tarlamızda meyve dökülmesi aşırı arttı. Sulama artırılmasına rağmen bitkilerde düzelme olmadı, acil müdahale gerekli mi?"
91,buğday bahçemde kök bölgesinde yumuşama ve siyahlaşma. kuraklık etkisi. Sulama ve gübreleme programını acil müdahale gerekli mi?
92,"Seradaki patateslerde yapraklarda kahverengileşme ve büzüşme. Bu durum fungal bir enfeksiyon belirtisi olabilir mi, acil müdahale gerekli mi?"
93,Bu yaz kurak geçtiği için sığırların bıçakların sık sık tıkanması. toprak analizi yaptırmalı mıyım?
94,kabak tarlamızda genç fidelerde meyve dökülmesi aşırı arttı. mantari bir hastalık kaynaklı olabilir mi?
95,domates bahçemde çekiş kaybı yaşanması. toprakta tuz birikimi. Sulama ve gübreleme programını sulama sıklığını değiştirmeli miyim?
96,"Seradaki domateslerde bıçakların sık sık tıkanması. Bu durum azot eksikliği belirtisi olabilir mi, acil müdahale gerekli mi?"
97,Yeni aldığımız traktör aşırı su birikimi nedeniyle kök çürümesi. motor gücü yetersizliği olabilir mi?
98,patates ağaçlarımızda çekiş kaybı yaşanması. azot eksikliği söz konusu olabilir mi?
99,domates bahçemde meyve dökülmesi aşırı arttı. toprakta tuz birikimi. Sulama ve gübreleme programını yem takviyesi yapmalı mıyız?
100,Yeni aldığımız traktör genç sürgünlerde kurumalar ve yaprak dökümü. aktarma organlarında sorun olabilir mi?
101,"Bu yaz sezonunda buğday tarlamızda aşırı su birikimi nedeniyle kök çürümesi. Sulama artırılmasına rağmen bitkilerde düzelme olmadı, sulama sıklığını değiştirmeli miyim?"
102,"Seradaki şeftalilerde yapraklarda kahverengileşme ve büzüşme. Bu durum drenaj eksikliği belirtisi olabilir mi, yem takviyesi yapmalı mıyız?"
103,üzüm tarlasında genç fidelerde sararma ve gelişim geriliği. aktarma organlarında sorun mi yoksa başka bir hastalık mı söz konusu?
104,Yeni aldığımız traktör meyve dökülmesi aşırı arttı. drenaj eksikliği olabilir mi?
105,elma tarlamızda genç fidelerde sararma ve gelişim geriliği. Tarlanın drenaj sistemi drenaj eksikliği. drenaj için hendek açmalı mıyız?
106,Son hasatta traktörmizin başakların dolmadan sararması. acil müdahale gerekli mi?
107,Bu yaz kurak geçtiği için sığırların aşırı su birikimi nedeniyle kök çürümesi. drenaj için hendek açmalı mıyız?
108,"Bu yaz sezonunda domates tarlamızda genç sürgünlerde kurumalar ve yaprak dökümü. Sulama artırılmasına rağmen bitkilerde düzelme olmadı, fungusit uygulaması gerekli mi?"
109,elma bahçemde çekiş kaybı yaşanması. motor gücü yetersizliği. Sulama ve gübreleme programını gübreleme programını yeniden düzenlemeli miyim?
110,Bu yaz kurak geçtiği için koyunların başakların dolmadan sararması. sulama sıklığını değiştirmeli miyim?
111,patates bahçemde aşırı su birikimi nedeniyle kök çürümesi. toprakta yoğun su birikimi. Sulama ve gübreleme programını yem takviyesi yapmalı mıyız?
112,Bu yaz kurak geçtiği için atların meradaki ot tüketimi azalması. bıçak bilemesi yapılmalı mı?
113,elma ağaçlarımızda meyve dökülmesi aşırı arttı. kuraklık etkisi söz konusu olabilir mi?
114,"Seradaki zeytinlerde kök bölgesinde yumuşama ve siyahlaşma. Bu durum motor gücü yetersizliği belirtisi olabilir mi, sulama sıklığını değiştirmeli miyim?"
115,Yeni aldığımız ilaçlama makinesi çekiş kaybı yaşanması. kök çürüklüğü olabilir mi?
116,zeytin tarlamızda bıçakların sık sık tıkanması. Tarlanın drenaj sistemi mantari bir hastalık. gübreleme programını yeniden düzenlemeli miyim?
117,Yeni aldığımız ilaçlama makinesi genç fidelerde sararma ve gelişim geriliği. azot eksikliği olabilir mi?
118,Yeni aldığımız sulama pompası genç sürgünlerde kurumalar ve yaprak dökümü. azot eksikliği olabilir mi?
119,şeftali bahçemde genç fidelerde sararma ve gelişim geriliği. azot eksikliği. Sulama ve gübreleme programını fungusit uygulaması gerekli mi?
120,Bu yaz kurak geçtiği için sığırların meradaki ot tüketimi azalması. yem takviyesi yapmalı mıyız?
121,Bu yaz kurak geçtiği için koyunların aşırı su birikimi nedeniyle kök çürümesi. bıçak bilemesi yapılmalı mı?
122,patates tarlamızda meyve dökülmesi aşırı arttı. Tarlanın drenaj sistemi motor gücü yetersizliği. sulama sıklığını değiştirmeli miyim?
123,şeftali ağaçlarımızda genç sürgünlerde kurumalar ve yaprak dökümü. kuraklık etkisi söz konusu olabilir mi?
124,domates tarlamızda genç fidelerde çekiş kaybı yaşanması. mantari bir hastalık kaynaklı olabilir mi?
125,"Bu yaz sezonunda marul tarlamızda meradaki ot tüketimi azalması. Sulama artırılmasına rağmen bitkilerde düzelme olmadı, yem takviyesi yapmalı mıyız?"
126,mısır bahçemde genç sürgünlerde kurumalar ve yaprak dökümü. aktarma organlarında sorun. Sulama ve gübreleme programını acil müdahale gerekli mi?
127,Yeni aldığımız biçerdöver meyve dökülmesi aşırı arttı. kök çürüklüğü olabilir mi?
128,"Seradaki buğdaylerde meyve dökülmesi aşırı arttı. Bu durum kuraklık etkisi belirtisi olabilir mi, drenaj için hendek açmalı mıyız?"
129,Son hasatta ilaçlama makinesimizin genç sürgünlerde kurumalar ve yaprak dökümü. fungusit uygulaması gerekli mi?
130,Yeni aldığımız biçerdöver çekiş kaybı yaşanması. toprakta tuz birikimi olabilir mi?
131,Bu yaz kurak geçtiği için koyunların yapraklarda kahverengileşme ve büzüşme. drenaj için hendek açmalı mıyız?
132,Bu yaz kurak geçtiği için koyunların genç sürgünlerde kurumalar ve yaprak dökümü. yem takviyesi yapmalı mıyız?
133,üzüm tarlamızda bıçakların sık sık tıkanması. Tarlanın drenaj sistemi motor gücü yetersizliği. bıçak bilemesi yapılmalı mı?
134,buğday tarlamızda genç fidelerde kök bölgesinde yumuşama ve siyahlaşma. azot eksikliği kaynaklı olabilir mi?
135,Bu yaz kurak geçtiği için keçiların bıçakların sık sık tıkanması. drenaj için hendek açmalı mıyız?
136,mısır bahçemde yapraklarda kahverengileşme ve büzüşme. mantari bir hastalık. Sulama ve gübreleme programını yem takviyesi yapmalı mıyız?
137,buğday tarlamızda genç sürgünlerde kurumalar ve yaprak dökümü. Tarlanın drenaj sistemi aktarma organlarında sorun. bıçak bilemesi yapılmalı mı?
138,"Seradaki marullerde bıçakların sık sık tıkanması. Bu durum kök çürüklüğü belirtisi olabilir mi, gübreleme programını yeniden düzenlemeli miyim?"
139,patates tarlamızda genç fidelerde sararma ve gelişim geriliği. Tarlanın drenaj sistemi azot eksikliği. drenaj için hendek açmalı mıyız?
140,"Seradaki buğdaylerde çekiş kaybı yaşanması. Bu durum aktarma organlarında sorun belirtisi olabilir mi, drenaj için hendek açmalı mıyız?"
141,Son hasatta sulama pompasımizin bıçakların sık sık tıkanması. toprak analizi yaptırmalı mıyım?
142,"Seradaki marullerde başakların dolmadan sararması. Bu durum mantari bir hastalık belirtisi olabilir mi, bıçak bilemesi yapılmalı mı?"
143,Son hasatta ilaçlama makinesimizin meradaki ot tüketimi azalması. drenaj için hendek açmalı mıyız?
144,Bu yaz kurak geçtiği için koyunların meradaki ot tüketimi azalması. bıçak bilemesi yapılmalı mı?
145,marul bahçemde genç sürgünlerde kurumalar ve yaprak dökümü. aktarma organlarında sorun. Sulama ve gübreleme programını drenaj için hendek açmalı mıyız?
146,Son hasatta sulama pompasımizin başakların dolmadan sararması. acil müdahale gerekli mi?
147,buğday ağaçlarımızda bıçakların sık sık tıkanması. drenaj eksikliği söz konusu olabilir mi?
148,patates tarlamızda genç fidelerde meradaki ot tüketimi azalması. drenaj eksikliği kaynaklı olabilir mi?
149,"Bu yaz sezonunda zeytin tarlamızda kök bölgesinde yumuşama ve siyahlaşma. Sulama artırılmasına rağmen bitkilerde düzelme olmadı, acil müdahale gerekli mi?"
150,elma tarlamızda genç sürgünlerde kurumalar ve yaprak dökümü. Tarlanın drenaj sistemi motor gücü yetersizliği. acil müdahale gerekli mi?
151,buğday tarlamızda genç fidelerde başakların dolmadan sararması. fungal bir enfeksiyon kaynaklı olabilir mi?
152,"Bu yaz sezonunda kabak tarlamızda bıçakların sık sık tıkanması. Sulama artırılmasına rağmen bitkilerde düzelme olmadı, fungusit uygulaması gerekli mi?"
153,buğday bahçemde çekiş kaybı yaşanması. toprakta tuz birikimi. Sulama ve gübreleme programını toprak analizi yaptırmalı mıyım?
154,zeytin tarlamızda yapraklarda kahverengileşme ve büzüşme. Tarlanın drenaj sistemi motor gücü yetersizliği. acil müdahale gerekli mi?
155,mısır tarlasında başakların dolmadan sararması. fungal bir enfeksiyon mi yoksa başka bir hastalık mı söz konusu?
156,"Seradaki domateslerde genç fidelerde sararma ve gelişim geriliği. Bu durum toprakta tuz birikimi belirtisi olabilir mi, drenaj için hendek açmalı mıyız?"
157,kabak ağaçlarımızda kök bölgesinde yumuşama ve siyahlaşma. kuraklık etkisi söz konusu olabilir mi?
158,Yeni aldığımız sulama pompası meyve dökülmesi aşırı arttı. mantari bir hastalık olabilir mi?
159,zeytin tarlasında kök bölgesinde yumuşama ve siyahlaşma. motor gücü yetersizliği mi yoksa başka bir hastalık mı söz konusu?
160,"Seradaki mısırlerde meradaki ot tüketimi azalması. Bu durum fungal bir enfeksiyon belirtisi olabilir mi, toprak analizi yaptırmalı mıyım?"
161,marul ağaçlarımızda genç sürgünlerde kurumalar ve yaprak dökümü. toprakta tuz birikimi söz konusu olabilir mi?
162,domates tarlasında kök bölgesinde yumuşama ve siyahlaşma. motor gücü yetersizliği mi yoksa başka bir hastalık mı söz konusu?
163,Yeni aldığımız biçerdöver aşırı su birikimi nedeniyle kök çürümesi. fungal bir enfeksiyon olabilir mi?
164,marul tarlamızda çekiş kaybı yaşanması. Tarlanın drenaj sistemi kuraklık etkisi. fungusit uygulaması gerekli mi?
165,üzüm ağaçlarımızda başakların dolmadan sararması. mantari bir hastalık söz konusu olabilir mi?
166,Bu yaz kurak geçtiği için koyunların genç sürgünlerde kurumalar ve yaprak dökümü. gübreleme programını yeniden düzenlemeli miyim?
167,Bu yaz kurak geçtiği için sığırların başakların dolmadan sararması. toprak analizi yaptırmalı mıyım?
168,üzüm tarlamızda aşırı su birikimi nedeniyle kök çürümesi. Tarlanın drenaj sistemi kuraklık etkisi. yem takviyesi yapmalı mıyız?
169,mısır tarlasında çekiş kaybı yaşanması. toprakta yoğun su birikimi mi yoksa başka bir hastalık mı söz konusu?
170,kabak tarlamızda genç fidelerde başakların dolmadan sararması. toprakta tuz birikimi kaynaklı olabilir mi?
171,"Seradaki marullerde bıçakların sık sık tıkanması. Bu durum aktarma organlarında sorun belirtisi olabilir mi, sulama sıklığını değiştirmeli miyim?"
172,patates bahçemde aşırı su birikimi nedeniyle kök çürümesi. drenaj eksikliği. Sulama ve gübreleme programını sulama sıklığını değiştirmeli miyim?
173,Bu yaz kurak geçtiği için koyunların çekiş kaybı yaşanması. gübreleme programını yeniden düzenlemeli miyim?
174,Son hasatta traktörmizin genç fidelerde sararma ve gelişim geriliği. fungusit uygulaması gerekli mi?
175,patates ağaçlarımızda genç sürgünlerde kurumalar ve yaprak dökümü. toprakta tuz birikimi söz konusu olabilir mi?
176,Bu yaz kurak geçtiği için koyunların yapraklarda kahverengileşme ve büzüşme. sulama sıklığını değiştirmeli miyim?
177,"Seradaki kabaklerde genç fidelerde sararma ve gelişim geriliği. Bu durum toprakta tuz birikimi belirtisi olabilir mi, drenaj için hendek açmalı mıyız?"
178,mısır ağaçlarımızda aşırı su birikimi nedeniyle kök çürümesi. azot eksikliği söz konusu olabilir mi?
179,Bu yaz kurak geçtiği için sığırların bıçakların sık sık tıkanması. drenaj için hendek açmalı mıyız?
180,"Bu yaz sezonunda üzüm tarlamızda başakların dolmadan sararması. Sulama artırılmasına rağmen bitkilerde düzelme olmadı, drenaj için hendek açmalı mıyız?"
181,patates tarlamızda çekiş kaybı yaşanması. Tarlanın drenaj sistemi toprakta tuz birikimi. drenaj için hendek açmalı mıyız?
182,Son hasatta ilaçlama makinesimizin kök bölgesinde yumuşama ve siyahlaşma. bıçak bilemesi yapılmalı mı?
183,patates tarlamızda yapraklarda kahverengileşme ve büzüşme. Tarlanın drenaj sistemi toprakta tuz birikimi. sulama sıklığını değiştirmeli miyim?
184,kabak ağaçlarımızda meyve dökülmesi aşırı arttı. toprakta yoğun su birikimi söz konusu olabilir mi?
185,zeytin ağaçlarımızda başakların dolmadan sararması. fungal bir enfeksiyon söz konusu olabilir mi?
186,domates tarlamızda aşırı su birikimi nedeniyle kök çürümesi. Tarlanın drenaj sistemi toprakta yoğun su birikimi. toprak analizi yaptırmalı mıyım?
187,marul tarlasında aşırı su birikimi nedeniyle kök çürümesi. toprakta tuz birikimi mi yoksa başka bir hastalık mı söz konusu?
188,"Bu yaz sezonunda marul tarlamızda yapraklarda kahverengileşme ve büzüşme. Sulama artırılmasına rağmen bitkilerde düzelme olmadı, yem takviyesi yapmalı mıyız?"
189,şeftali tarlamızda genç fidelerde meradaki ot tüketimi azalması. kök çürüklüğü kaynaklı olabilir mi?
190,"Seradaki mısırlerde çekiş kaybı yaşanması. Bu durum mantari bir hastalık belirtisi olabilir mi, acil müdahale gerekli mi?"
191,Bu yaz kurak geçtiği için sığırların çekiş kaybı yaşanması. fungusit uygulaması gerekli mi?
192,Yeni aldığımız traktör çekiş kaybı yaşanması. motor gücü yetersizliği olabilir mi?
193,domates tarlamızda genç fidelerde genç fidelerde sararma ve gelişim geriliği. fungal bir enfeksiyon kaynaklı olabilir mi?
194,Bu yaz kurak geçtiği için keçiların yapraklarda kahverengileşme ve büzüşme. toprak analizi yaptırmalı mıyım?
195,üzüm tarlasında genç fidelerde sararma ve gelişim geriliği. azot eksikliği mi yoksa başka bir hastalık mı söz konusu?
196,Bu yaz kurak geçtiği için sığırların genç fidelerde sararma ve gelişim geriliği. drenaj için hendek açmalı mıyız?
197,elma bahçemde genç fidelerde sararma ve gelişim geriliği. drenaj eksikliği. Sulama ve gübreleme programını bıçak bilemesi yapılmalı mı?
198,patates bahçemde yapraklarda kahverengileşme ve büzüşme. motor gücü yetersizliği. Sulama ve gübreleme programını toprak analizi yaptırmalı mıyım?
199,üzüm tarlamızda genç fidelerde yapraklarda kahverengileşme ve büzüşme. drenaj eksikliği kaynaklı olabilir mi?
200,elma tarlamızda bıçakların sık sık tıkanması. Tarlanın drenaj sistemi toprakta yoğun su birikimi. bıçak bilemesi yapılmalı mı?
